Published date,Positive_Count,Negative_Count,Neutral_Count,Total,Positive_Percentage,Negative_Percentage,Neutral_Percentage
2020-11-13,5,0,4,9,55.55555556,0,44.44444444
2020-11-14,1,1,3,5,20,20,60
2020-11-15,3,2,1,6,50,33.33333333,16.66666667
2020-11-16,1,3,5,9,11.11111111,33.33333333,55.55555556
2020-11-17,1,2,5,8,12.5,25,62.5
2020-11-18,2,1,7,10,20,10,70
2020-11-19,2,2,6,10,20,20,60
2020-11-20,2,0,5,7,28.57142857,0,71.42857143
2020-11-21,3,1,1,5,60,20,20
2020-11-22,1,0,0,1,100,0,0
2020-11-23,0,0,7,7,0,0,100
2020-11-24,2,1,6,9,22.22222222,11.11111111,66.66666667
2020-11-25,5,1,4,10,50,10,40
2020-11-26,1,1,8,10,10,10,80
2020-11-27,5,1,3,9,55.55555556,11.11111111,33.33333333
2020-11-28,1,3,4,8,12.5,37.5,50
2020-11-29,3,1,2,6,50,16.66666667,33.33333333
2020-11-30,2,0,7,9,22.22222222,0,77.77777778
2020-12-01,2,3,5,10,20,30,50
2020-12-02,7,1,2,10,70,10,20
2020-12-03,2,1,6,9,22.22222222,11.11111111,66.66666667
2020-12-04,3,0,7,10,30,0,70
2020-12-05,3,2,1,6,50,33.33333333,16.66666667
2020-12-06,3,0,2,5,60,0,40
2020-12-07,2,4,3,9,22.22222222,44.44444444,33.33333333
2020-12-08,3,3,3,9,33.33333333,33.33333333,33.33333333
2020-12-09,3,3,2,8,37.5,37.5,25
2020-12-10,2,1,5,8,25,12.5,62.5
2020-12-11,1,1,8,10,10,10,80
2020-12-12,5,1,2,8,62.5,12.5,25
2020-12-13,3,2,1,6,50,33.33333333,16.66666667
2020-12-14,3,2,3,8,37.5,25,37.5
2020-12-15,4,0,3,7,57.14285714,0,42.85714286
2020-12-16,4,2,4,10,40,20,40
2020-12-17,2,1,7,10,20,10,70
2020-12-18,5,2,3,10,50,20,30
2020-12-19,1,0,5,6,16.66666667,0,83.33333333
2020-12-20,3,3,4,10,30,30,40
2020-12-21,3,3,2,8,37.5,37.5,25
2020-12-22,2,4,4,10,20,40,40
2020-12-23,4,1,4,9,44.44444444,11.11111111,44.44444444
2020-12-24,5,1,3,9,55.55555556,11.11111111,33.33333333
2020-12-25,1,0,4,5,20,0,80
2020-12-26,4,0,2,6,66.66666667,0,33.33333333
2020-12-27,3,1,3,7,42.85714286,14.28571429,42.85714286
2020-12-28,3,0,5,8,37.5,0,62.5
2020-12-29,2,0,6,8,25,0,75
2020-12-30,2,1,6,9,22.22222222,11.11111111,66.66666667
2020-12-31,2,1,2,5,40,20,40
2021-01-01,1,2,5,8,12.5,25,62.5
2021-01-02,3,0,6,9,33.33333333,0,66.66666667
2021-01-03,4,1,5,10,40,10,50
2021-01-04,2,3,4,9,22.22222222,33.33333333,44.44444444
2021-01-05,4,3,3,10,40,30,30
2021-01-06,2,1,7,10,20,10,70
2021-01-07,4,1,5,10,40,10,50
2021-01-08,4,1,5,10,40,10,50
2021-01-09,4,3,3,10,40,30,30
2021-01-10,1,3,5,9,11.11111111,33.33333333,55.55555556
2021-01-11,2,3,4,9,22.22222222,33.33333333,44.44444444
2021-01-12,4,3,3,10,40,30,30
2021-01-13,3,2,5,10,30,20,50
2021-01-14,4,3,3,10,40,30,30
2021-01-15,3,3,3,9,33.33333333,33.33333333,33.33333333
2021-01-16,1,2,4,7,14.28571429,28.57142857,57.14285714
2021-01-17,3,1,4,8,37.5,12.5,50
2021-01-18,1,4,4,9,11.11111111,44.44444444,44.44444444
2021-01-19,1,1,7,9,11.11111111,11.11111111,77.77777778
2021-01-20,4,2,4,10,40,20,40
2021-01-21,6,3,1,10,60,30,10
2021-01-22,1,2,6,9,11.11111111,22.22222222,66.66666667
2021-01-23,3,2,4,9,33.33333333,22.22222222,44.44444444
2021-01-24,2,4,2,8,25,50,25
2021-01-25,2,1,7,10,20,10,70
2021-01-26,6,0,2,8,75,0,25
2021-01-27,4,2,4,10,40,20,40
2021-01-28,2,3,5,10,20,30,50
